delta,t_hh1,t_th2,t_hh3,t_tt1,nk,bandwidth_high,gap_high_mid,flatness_ratio,chern_high,quantum_weight_high,qw_minus_one,chern_error,is_gapped,score
5.08436135948059,0.3824401238732349,-0.003298238484888971,0.0781200162123234,0.24223358400454054,61,0.22739361313125883,1.3721353966484782,0.16572243066295148,0.9672596834374634,0.9970067229102717,-0.0029932770897282968,0.03274031656253662,True,0.767230026441781
2.8055204354526153,0.6772461641698609,0.0035126338921757094,0.10104922375685538,-0.15337849041943075,61,0.2956063734372094,2.1377472711324965,0.13827938289478367,0.944620373320007,0.9619682486133526,-0.03803175138664738,0.055379626679992966,True,0.7804844035905939
2.3176597723795855,0.7781753284249039,-0.006142542560700237,0.035505858328137185,-0.28619858736304926,61,0.3358388932032863,2.4566281580563905,0.13670725547206616,0.8967147320323087,0.9216679149035887,-0.07833208509641132,0.10328526796769133,True,1.0142872316791323
2.644474786282316,0.771928805969951,0.04723987666628504,0.07688992059073357,-0.10878786027422416,61,0.47510752845519244,2.2002870892347066,0.21592978969868976,0.9512322542842483,0.9723939201063707,-0.027606079893629287,0.04876774571575171,True,1.0302124825038064
2.779597591634451,0.7425711571334256,-0.003830294517182531,0.09794784151210895,-0.23970634652017464,61,0.41081625687928236,2.226984489514105,0.18447198838323134,0.9252884736237751,0.9504969012712619,-0.04950309872873815,0.07471152637622491,True,1.0453682708919017
2.7397530905537852,0.46607264350835315,-0.02884088215973274,0.04676883647700558,0.19598071244831938,61,0.38603878255556356,1.9152894060085495,0.20155637124316678,0.9136005802725484,0.9570441072504932,-0.04295589274950684,0.08639941972745158,True,1.1660256942431257
2.732554410283285,0.4858387032471709,-0.04239242403497656,0.09321306819485436,-0.4068081785308122,61,0.6225901392395541,2.249538023933995,0.27676355439005546,0.9433325147686541,0.9562481222497874,-0.04375187775021261,0.056667485231345904,True,1.2912557662757247
2.9344120463672074,0.5986232657118551,0.024242526962367117,-0.008610284361318776,0.09286685110505333,61,0.43926661802798694,2.004852590111328,0.2191017036337793,0.8965480230432049,0.9389408111416814,-0.061059188858318625,0.10345197695679509,True,1.3151851243643566
2.6005885858785662,0.9969636820414137,0.07478025563957047,-0.0252020098067528,-0.32473161850390875,61,0.6344028864428433,2.472462361512477,0.25658747988170005,0.8940219548096816,0.9401871513783473,-0.0598128486216527,0.10597804519031839,True,1.4643312775836843
2.611980370058792,0.44932080242402705,-0.08122368493495707,0.043014685644957196,0.27784860820091106,61,0.4293286071742215,1.908240067005841,0.22498668516475887,0.8634157740278082,0.9302581059552852,-0.06974189404471476,0.13658422597219178,True,1.5022783127815973
2.973486548954954,0.41522467627788373,-0.03311081459245607,0.07284472610952242,-0.4131547232871753,61,0.7754294442709673,2.1593609378464693,0.3591013575730897,0.9486325160920277,0.9571088987722225,-0.042891101227777506,0.0513674839079723,True,1.5646138175457964
4.433128213109584,0.7542098729178519,0.09846739075517491,-0.059642511686960165,-0.3405497339753225,61,0.5600301175363533,1.9372880875976701,0.2890794204133147,0.8786472937012252,0.9284853120703234,-0.07151468792967663,0.12135270629877482,True,1.659533829330527
